Data Ulasan UMKM Banyumas — SIMANTAP UMKM;;;;;;
nama_umkm;kategori;lokasi;ulasan;rating;label_sentimen;produk_utama
"Galery Batik ""PRINGMAS""";Fashion;Kecamatan Banyumas (Dusun Kalisuren, Desa Papringan);Batik Banyumas yang berkualitas. Ada harga, ada kualitas, Batik tulisnya keren keren, Harganya terjangkau, batiknya bagus dan keren;4;Positif;Kain batik tulis dan cap klasik banyumasan dengan karakteristik warna soga (cokelat) dan wedelan (biru tua), pakaian batik jadi, serta produk suvenir berbahan kain batik.
"Galery Batik ""PRINGMAS""";Fashion;Kecamatan Banyumas (Dusun Kalisuren, Desa Papringan);asli tulis/handmade,,tempatnya nyaman dengan pemandangan sungai serayu;5;Positif;Kain batik tulis dan cap klasik banyumasan dengan karakteristik warna soga (cokelat) dan wedelan (biru tua), pakaian batik jadi, serta produk suvenir berbahan kain batik.
"Galery Batik ""PRINGMAS""";Fashion;Kecamatan Banyumas (Dusun Kalisuren, Desa Papringan);cocok untuk wisata edukasi batik;5;Positif;Kain batik tulis dan cap klasik banyumasan dengan karakteristik warna soga (cokelat) dan wedelan (biru tua), pakaian batik jadi, serta produk suvenir berbahan kain batik.
"Galery Batik ""PRINGMAS""";Fashion;Kecamatan Banyumas (Dusun Kalisuren, Desa Papringan);Pilihan batiknya banyak dan bagus2..harganya sesuai sama kebagusan motif batiknya. Lokasi galerinya agak terpencil tapi cukup luas parkir maupun galerinya itu sendiri;4;Positif;Kain batik tulis dan cap klasik banyumasan dengan karakteristik warna soga (cokelat) dan wedelan (biru tua), pakaian batik jadi, serta produk suvenir berbahan kain batik.
"Galery Batik ""PRINGMAS""";Fashion;Kecamatan Banyumas (Dusun Kalisuren, Desa Papringan);Buat yang nyari batik Banyumas yg original (asli lukisan dan pewarnaan orang Banyumas)  tempat ini salah satu yg recomended. Sering bawa tamu dr dalam dan luar negeri;4;Positif;Kain batik tulis dan cap klasik banyumasan dengan karakteristik warna soga (cokelat) dan wedelan (biru tua), pakaian batik jadi, serta produk suvenir berbahan kain batik.
"Galery Batik ""PRINGMAS""";Fashion;Kecamatan Banyumas (Dusun Kalisuren, Desa Papringan);rata2 komentarnya puas. Bisa terima non tunai juga... Ada mesin EDC nya juga. Ada toilet. Bisa melihat orang produksi sambil memandangi indahnya sungai serayu.;5;Positif;Kain batik tulis dan cap klasik banyumasan dengan karakteristik warna soga (cokelat) dan wedelan (biru tua), pakaian batik jadi, serta produk suvenir berbahan kain batik.
Nopia & Mino Pak Narwan;Kuliner;Kecamatan Banyumas (Desa Pekunden);Jangan sampai kelupaan ketika berkunjung ke daerah ini, belilah oleh-oleh untuk saudara-saudara Anda. Nopia ini sangat enak dan harganyapun tidak mahal seperti oleh-oleh pada umumnya. Dijamin khalal makanan ini. Kemasannya bagus dan mudah dibawa kemana-mana. Hanya saja untuk tempat penjual ini kurang bisa dilihat dalam keadaan lalu lintas ramai. Mungkin karna plang toko yang kecil atau belum sebuming oleh-oleh yang lain.;3;Netral;Nopia (ukuran besar) dan Mino (Mini Nopia) dengan isian orisinal gula jawa serta varian rasa lain seperti bawang goreng, susu, cokelat, dan durian.
Nopia & Mino Pak Narwan;Kuliner;Kecamatan Banyumas (Desa Pekunden);Kurang memuaskan, karena harus bayar parkir, karena saya sering bgt beli di alfamart, jadi setiap ke situ harus bayar parkir sepertinya males bgt jadinya belanja di situ. Saran saja kalo bisa jgn ada tukang parkirnya, kurang nyaman karena itu sepertinya ilegal.;2;Negatif;Nopia (ukuran besar) dan Mino (Mini Nopia) dengan isian orisinal gula jawa serta varian rasa lain seperti bawang goreng, susu, cokelat, dan durian.
Nopia & Mino Pak Narwan;Kuliner;Kecamatan Banyumas (Desa Pekunden);Bisa liat langsung pembuatan nya..menarik, pelayanan nya baik;3;Netral;Nopia (ukuran besar) dan Mino (Mini Nopia) dengan isian orisinal gula jawa serta varian rasa lain seperti bawang goreng, susu, cokelat, dan durian.
Nopia & Mino Pak Narwan;Kuliner;Kecamatan Banyumas (Desa Pekunden);Tempat produksi sekaligus belanja nopia & mino yang legendaris di kota Banyumas, jajanan yang recommended untuk oleh - oleh bila berkunjung ke tempat saudara. Ada berbagai varian rasa, rasa gula jawa, rasa duren dan lainya, harganya cukup terjangkau, packingnya bagus. Lokasinya berada di pinggir jalan sehingga mudah di akses.;4;Positif;Nopia (ukuran besar) dan Mino (Mini Nopia) dengan isian orisinal gula jawa serta varian rasa lain seperti bawang goreng, susu, cokelat, dan durian.
Nopia & Mino Pak Narwan;Kuliner;Kecamatan Banyumas (Desa Pekunden);Ga suka dgn pelayqnan ga ramah,sombong mentang lg rame;3;Netral;Nopia (ukuran besar) dan Mino (Mini Nopia) dengan isian orisinal gula jawa serta varian rasa lain seperti bawang goreng, susu, cokelat, dan durian.
Nopia & Mino Pak Narwan;Kuliner;Kecamatan Banyumas (Desa Pekunden);Citarasa nopia dan mino yg khas dan enak, ownernya juga baik banget, kita bawa rombongan anak2 kesana untuk melihat pembuatanya juga disambut dengan baik. Trimakasih atas sambutan hangatnya;4;Positif;Nopia (ukuran besar) dan Mino (Mini Nopia) dengan isian orisinal gula jawa serta varian rasa lain seperti bawang goreng, susu, cokelat, dan durian.
Nopia & Mino Pak Narwan;Kuliner;Kecamatan Banyumas (Desa Pekunden);Makanan khas yang saya sukai sejak kecil. Enak, manis, dan unik karena kopong bagian dalamnya. Baru tau kalo ternyata makanan khas dari Banyumas. Benar-benar legend makanan khas yang satu ini. Hampir di setiap toko oleh-oleh di berbagai kota selalu ada nopia. Generasi kedua yang sekarang menghandle nopia pak Narwan. Semoga sukses, berkah dunia akhirat.;5;Positif;Nopia (ukuran besar) dan Mino (Mini Nopia) dengan isian orisinal gula jawa serta varian rasa lain seperti bawang goreng, susu, cokelat, dan durian.
Nopia & Mino Pak Narwan;Kuliner;Kecamatan Banyumas (Desa Pekunden);Tempat ini butuh dibersihkan, bro... yang lainnya bagus…;3;Netral;Nopia (ukuran besar) dan Mino (Mini Nopia) dengan isian orisinal gula jawa serta varian rasa lain seperti bawang goreng, susu, cokelat, dan durian.
Nopia & Mino Pak Narwan;Kuliner;Kecamatan Banyumas (Desa Pekunden);Nopia nya top markotop. Fresh from the oven. Ada rasa duren, gula aren, coklat, nanas, brambang! Wah rasa nanas nya ok bgt. Cuma ada di Jogja dan Bandung. Kalo di Jakarta biasanya cuma ada rasa gula aren n coklat. Wajib banget kalo k Purwokerto, mampir ke Pak Narwan di Banyumas. Cuma 15 km dari Purwokerto alias 30 - 40 menit dg mobil. Yang melayani juga ramah. Harus lah ke Nopia pak Narwan. Oleh2 yg pas.;5;Positif;Nopia (ukuran besar) dan Mino (Mini Nopia) dengan isian orisinal gula jawa serta varian rasa lain seperti bawang goreng, susu, cokelat, dan durian.
Nopia & Mino Pak Narwan;Kuliner;Kecamatan Banyumas (Desa Pekunden);Tempat oleh oleh ter favorit walaupun sederhana dan hanya rumahan, produk produknya sangat berkualitas baik dan enak;5;Positif;Nopia (ukuran besar) dan Mino (Mini Nopia) dengan isian orisinal gula jawa serta varian rasa lain seperti bawang goreng, susu, cokelat, dan durian.
Nopia & Mino Pak Narwan;Kuliner;Kecamatan Banyumas (Desa Pekunden);Nyaman menyenangkan dan unik,makanan spesifik dan super enaaak.;5;Positif;Nopia (ukuran besar) dan Mino (Mini Nopia) dengan isian orisinal gula jawa serta varian rasa lain seperti bawang goreng, susu, cokelat, dan durian.
NGAPAK (Pusat Oleh-Oleh Khas Purwokerto);Fashion;Purwokerto Barat;Satu-satunya tempat yang sukses bikin oleh-oleh tradisional jadi kelihatan modern tanpa ngilangin rasa aslinya. Harganya jujur, kualitasnya terjaga. Pokoknya, jangan lupa mampir ke Pusat Oleh-Oleh Khas Ngapak biar pengalamanmu di Purwokerto makin lengkap!;5;Positif;Mendoan, getuk goreng, keripik, oleh-oleh khas Banyumas
NGAPAK (Pusat Oleh-Oleh Khas Purwokerto);Fashion;Purwokerto Barat;Tempat Ngapak pusat oleh-oleh khas Purwokerto yang lengkap dan nyaman. Menyediakan berbagai camilan seperti getuk goreng, nopia-mino, dan mendoan instan dengan kemasan menarik. Tempatnya bersih, pelayanannya ramah, dan cocok untuk berburu buah tangan. Rekomendasi terbaik saat berkunjung ke Purwokerto. #pusat oleh oleh khas purwokerto;5;Positif;Mendoan, getuk goreng, keripik, oleh-oleh khas Banyumas
Soto Sangka Banyumas;Kuliner;Banyumas;lokasi strategis, porsi g terlalu banyak karna mangkoknya kecil, harga lumayan mahal karna pakai ayam kampung, rasa B aja (menurut lidah saya) bukan g enak tapi kaya kurang mantep;3;Netral;Soto, makanan khas Purwokerto, dan minuman
Soto Sangka Banyumas;Kuliner;Banyumas;Soto legend berumur 100 tahun. Dimasak pakai tungku, isinya ayam kampung, ketupat, toge dan daun bawang. Makannya pakai sambal kacang sedap bener walaupun porsi terlihat kecil tapi mengenyangkan. Tempatnya juga bersih.;5;Positif;Soto, makanan khas Purwokerto, dan minuman
Soto Sangka Banyumas;Kuliner;Banyumas;Soto Banyumasan yang klasik. Soto ayam dengan karbo berupa ketupat. Sotonya masih dimasak dengan kayu bakar. Rasanya sebenarnya simpel jika dibandingkan dengan soto lain di Banyumas. Tetapi rasanya masih oke lah. Kalau tidak ditambahkan sambal kacang, rasanya agak kurang. Kalau dikasih sambal kacang baru enak. Sayangnya di sini tidak ada gorengan.;5;Positif;Soto, makanan khas Purwokerto, dan minuman
Soto Sangka Banyumas;Kuliner;Banyumas;Rasa tidak seenak dulu dan harga saya rasa terlalu mahal buat soto dgn porsi kecil yg spt itu. Juga tidak adanya lahan parkir yg membuat susah bila mau mengunjungi warung ini;1;Negatif;Soto, makanan khas Purwokerto, dan minuman
Soto Sangka Banyumas;Kuliner;Banyumas;Makanan biasa aja. Harga termasuk mahal klo di kampung;1;Negatif;Soto, makanan khas Purwokerto, dan minuman
Soto Sangka Banyumas;Kuliner;Banyumas;Harga relatif mahal dengan rasa yang biasa saja (ga spesial);1;Negatif;Soto, makanan khas Purwokerto, dan minuman
Soto Sangka Banyumas;Kuliner;Banyumas;Mahal;1;Negatif;Soto, makanan khas Purwokerto, dan minuman
Kopi Kami, Untuk Kamu;Kuliner;Purwokerto Utara;Lokasinya strategis, tempatnya nyaman full AC ada 2 lantai, klo makan di kemangi bisa pesan menu di kopi kami karena 1 managemen.;5;Positif;Kopi, minuman espresso based, makanan ringan, dan menu kafe
Kopi Kami, Untuk Kamu;Kuliner;Purwokerto Utara;Tempatnya nyaman, adem, banyak kursi, ada mushola, harga affordable, free wifi. The best pokoknya. Semoga rame yaa...;5;Positif;Kopi, minuman espresso based, makanan ringan, dan menu kafe
Kopi Kami, Untuk Kamu;Kuliner;Purwokerto Utara;Tempatnya cozy banget buat makan & nongkrong mantep, tatanan interiornya suka sih keren, untuk makanannya lumayan enak;4;Positif;Kopi, minuman espresso based, makanan ringan, dan menu kafe
Kopi Kami, Untuk Kamu;Kuliner;Purwokerto Utara;Pelayanan kurang memuaskan....rasa mkanan biasa aja;3;Netral;Kopi, minuman espresso based, makanan ringan, dan menu kafe
Kopi Kami, Untuk Kamu;Kuliner;Purwokerto Utara;pernah aku dan keluarga makan disini dan sampe 1 jam lebih nunggu makanan dateng, yang tadi'nya laper mau makan biar kenyang karena nunggu kelamaan lapernya ilang, sampe makanan blm dteng semua kita pulang, dan kita memutuskan makanan yg dipesan untuk di bungkus, dan lebih parahnya lgi makanan yg udah masuk bill 1 macem makanan ternyata tdk ada pas smpe rumah, sekedar masukan harap lebih menghargai pelanggan, terimakasih.;1;Negatif;Kopi, minuman espresso based, makanan ringan, dan menu kafe
Kopi Kami, Untuk Kamu;Kuliner;Purwokerto Utara;Layanannya lama..butuh 15 menit sampai ada 1 pelayan yg tanyain mau pesen apa dan butuh 15 menit lagi untuk menunggu 1 gelas 1 latte..panas dan rame banget..wifi ada tapi gak ada connection..sayang bgt padahal tempatnya bagus dan harganya affordable.;3;Netral;Kopi, minuman espresso based, makanan ringan, dan menu kafe
Kopi Kami, Untuk Kamu;Kuliner;Purwokerto Utara;Mohon maaf saya berikan bintang 1. Pernah makan di sini dan pesanan datang lama sekali hampir 1 jam padahal di sana tidak banyak tamu. Mohon diperbaiki pelayanan nya, Tempat yang nyaman akan sia-sia jika masakan disajikan terlalu lama.;1;Negatif;Kopi, minuman espresso based, makanan ringan, dan menu kafe
Nakopi Roastery;Kuliner;Purwokerto Selatan;Pertama kali kesini, langsung dijelaskan macam macam kopi. Lengkap untuk kopi nya, mau lokal maupun kopi Nusantara. Beli beans gratis giling.;5;Positif;Biji Kopi dan minuman kopi pilihan
Nakopi Roastery;Kuliner;Purwokerto Selatan;Pilihan biji kopi nya beragam dan harga sangat terjangkau, pemilik juga ramah;5;Positif;Biji Kopi dan minuman kopi pilihan
Nakopi Roastery;Kuliner;Purwokerto Selatan;Tempat jual berbagai macam jenis kopi yang lumayan lengkap. Beans nya bisa minta digiling sekalian. Penjualnya ramah. Kopi nya juga enak dan fresh.;5;Positif;Biji Kopi dan minuman kopi pilihan
Nakopi Roastery;Kuliner;Purwokerto Selatan;Tempat jual kopi terdekat dan termurah dari rumah, sudah coba berbagai macam beans, tp blm pernah ketemu sama yang punya…;5;Positif;Biji Kopi dan minuman kopi pilihan
Nakopi Roastery;Kuliner;Purwokerto Selatan;Saya minta giling halus malah dikasih kasar;3;Netral;Biji Kopi dan minuman kopi pilihan
Praketa;Kuliner;Purwokerto Utara;My personal experience here has always been good. Praketa nyaman banget untuk nugas. Ada colokan di setiap meja. Kalau kurang, bisa minta roll kabel tambahan. Pesan apapun juga free segelas air mineral. No bayar parkir, karena mereka juga menyediakan kartu parkir gratis. Daaaan, wifinya kenceng banget. Online meeting disini lancar jaya. Makanannya juga affordable. Paling suka ricebowl crispy chicken yang sambel matah atau ricebowl bakso sapi saus bbq. Intinya Praketa is my personal comfort place. The service is too good. I think I come here at least twice a month, except during holiday??;5;Positif;Kopi, minuman espresso based, makanan ringan, dan menu kafe
Praketa;Kuliner;Purwokerto Utara;Another cafe deket Unsoed yang aku rekomendasiin juga. Tempatnya kecil tapi nyaman kok, ada ruang indoor dan outdoornya. Parkiran luas, ada buku juga yang bisa dibaca sambil minum kopi;5;Positif;Kopi, minuman espresso based, makanan ringan, dan menu kafe
Praketa;Kuliner;Purwokerto Utara;mahall, pesanannya lama, kurang hemat untuk kaum mendang mending.;1;Negatif;Kopi, minuman espresso based, makanan ringan, dan menu kafe
Praketa;Kuliner;Purwokerto Utara;Total 74rb praketa skrg downgrade bgt, Kentang berapa biji 15ribu, risol mayo 3biji 18rb, lemon tea cup ketcil 18rb, caffe latte 23rb, total 74ribu ini becanda apa gmn kaya nggelitik lidah doang. Mending ke coffe shop lain, bye praketa…;1;Negatif;Kopi, minuman espresso based, makanan ringan, dan menu kafe
Praketa;Kuliner;Purwokerto Utara;Pelayanannya kurang ramah, terkesan maksa untuk semua order padahal pasti di order. But i think kan bisa aja sharing. Even emg mau mengingatkan coba pelan² mbaa...;1;Negatif;Kopi, minuman espresso based, makanan ringan, dan menu kafe
Praketa;Kuliner;Purwokerto Utara;Punten ya min, habis dapet pelayanan yang kurang mengenakan dr mba mba nya, kalau menawarkan bisa jgn terlalu maksa gitu, mengangu kenyaman sebagai customer, apa lg dengan nada bicara yang kurang humbel, terimaksi????;1;Negatif;Kopi, minuman espresso based, makanan ringan, dan menu kafe
Praketa;Kuliner;Purwokerto Utara;Suasana ga kaya cafe tapi lebih ke warung, makanan ada yg enak ada yg ga enak. Pesen singkong goreng tapi singkongnya pahit. Pesen Ricebowl Baso enak. Harga worth lah di kelasnya.;3;Netral;Kopi, minuman espresso based, makanan ringan, dan menu kafe
Praketa;Kuliner;Purwokerto Utara;Kedai kopi ini tmpt nya kurang luas ,parkiran juga kurang luas ,rasa kopi nya juga cukupan ,tmpt bersih,pelayanan ramah;3;Netral;Kopi, minuman espresso based, makanan ringan, dan menu kafe
Batik Hadipriyanto;Fashion;Banyumas;Toko batik langganan saat pulkam, koleksi lengkap, showroom luas, ber AC dan bersih, bikin betah lama² browsing batik. Pelayanan sat set, ramah daj helpful.;5;Positif;Batik, kain, pakaian, dan suvenir berbahan kain
Batik Hadipriyanto;Fashion;Banyumas;Batik khas Banyumas, tersedia banyak pilihan, mulai dari yang mahal dengan model batik hasil lukis tangan, sampai yang murah hasil batik stample. Meskipun toko batik khas Banyumas, namun menjual juga beberapa batik khas dari luar daerah seperti kain lurik (surjan), dll.;5;Positif;Batik, kain, pakaian, dan suvenir berbahan kain
Batik Hadipriyanto;Fashion;Banyumas;Pilihan motif batik yg sangat variatif, harga yg terjangkau bahkan dengan layanan yg ramah parkir yg mudah baik untuk roda 2 atau empat.;5;Positif;Batik, kain, pakaian, dan suvenir berbahan kain
Batik Hadipriyanto;Fashion;Banyumas;Motif, corak, kain dan modelnya cakep2 semua.. bisa liat proses pembuatannya langsung.. harganya jg sesuai.. Batik Hadipriyanto, Banyumas banget;5;Positif;Batik, kain, pakaian, dan suvenir berbahan kain
Batik Hadipriyanto;Fashion;Banyumas;Butik Batik asli Banyumas. Tersedia kain dan busana pria dan wanita jadi. Sayangnya koleksi kurang lengkap. Untuk batik tulis selembar kain seharga ratusan hingga jutaan rupiah.;4;Positif;Batik, kain, pakaian, dan suvenir berbahan kain
Batik Hadipriyanto;Fashion;Banyumas;Bagus nyaman banyak pilihan motif batiknya;4;Positif;Batik, kain, pakaian, dan suvenir berbahan kain
NGAPAK (Pusat Oleh-Oleh Khas Purwokerto);Fashion;Purwokerto Barat;"Pusat oleh-oleh khas Purwokerto
Tempatnya nyaman, bersih, merchandise lucu-lucu.";5;Positif;Mendoan, getuk goreng, keripik, oleh-oleh khas Banyumas
NGAPAK (Pusat Oleh-Oleh Khas Purwokerto);Fashion;Purwokerto Barat;"yang cari merch khas purwokerto wajib banget ke ""NGAPAK (Pusat oleh-oleh khas Purwokerto), merchnya unik dari mulai gantungan kunci, totebag dan kaos yang designnya otentik, kakaknya ramah dan tempatnya bersih banget!";5;Positif;Mendoan, getuk goreng, keripik, oleh-oleh khas Banyumas
NGAPAK (Pusat Oleh-Oleh Khas Purwokerto);Fashion;Purwokerto Barat;"Tempat Ngapak pusat oleh-oleh khas Purwokerto yang lengkap dan nyaman. Menyediakan berbagai camilan seperti getuk goreng, nopia-mino, dan mendoan instan dengan kemasan menarik.
Tempatnya bersih, pelayanannya ramah, dan cocok untuk berburu buah tangan. Rekomendasi terbaik saat berkunjung ke Purwokerto.
#pusat oleh oleh khas purwokerto";5;Positif;Mendoan, getuk goreng, keripik, oleh-oleh khas Banyumas
NGAPAK (Pusat Oleh-Oleh Khas Purwokerto);Fashion;Purwokerto Barat;Tempatnyaa nyaman, kasir ramah. Anti mainstream bgt jualannya. Cocok buat yg cari oleh2 lain selain getuk dan mendoan;5;Positif;Mendoan, getuk goreng, keripik, oleh-oleh khas Banyumas
NGAPAK (Pusat Oleh-Oleh Khas Purwokerto);Fashion;Purwokerto Barat;Banyak pilihan oleh oleh khas purwokerto, ada pilihan baju baju dengan tulisan lucu-lucu, staff nya ramah banget, tempatnya bersih.. kusuka..;5;Positif;Mendoan, getuk goreng, keripik, oleh-oleh khas Banyumas
NGAPAK (Pusat Oleh-Oleh Khas Purwokerto);Fashion;Purwokerto Barat;"Pelayanan sangat ramahh
Untuk oleh² bervariasi dan tersedia tester
Banyak pilihan kaos untuk oleh², bahan berkualitas
Rekomended untuk belanja oleh²";5;Positif;Mendoan, getuk goreng, keripik, oleh-oleh khas Banyumas
NGAPAK (Pusat Oleh-Oleh Khas Purwokerto);Fashion;Purwokerto Barat;pusatt oleh olehhh palinggg josss yaituu adaa diii ngapak store Purwokerto,di jaminnn barangnya memuaskan, banyakk banget pilihannya dan tempatnya yangg nyamann,di jaminn puas,ngapakk store okeee;5;Positif;Mendoan, getuk goreng, keripik, oleh-oleh khas Banyumas
NGAPAK (Pusat Oleh-Oleh Khas Purwokerto);Fashion;Purwokerto Barat;Pelayanan bagus dan ramah,desain di baju totebag dan ganci menarik menarik tempat nya juga bersih.#pusat oleh oleh purwokerto;5;Positif;Mendoan, getuk goreng, keripik, oleh-oleh khas Banyumas
Soto Sangka Banyumas;Kuliner;Banyumas;Rasa tidak seenak dulu dan harga saya rasa terlalu mahal buat soto dgn porsi kecil yg spt itu. Juga tidak adanya lahan parkir yg membuat susah bila mau mengunjungi warung ini;1;Negatif;Soto, makanan khas Purwokerto, dan minuman
Soto Sangka Banyumas;Kuliner;Banyumas;Makanan biasa aja.harga termasuk mahal klo di kampung;1;Negatif;Soto, makanan khas Purwokerto, dan minuman
Soto Sangka Banyumas;Kuliner;Banyumas;Harga relatif mahal dengan rasa yang biasa saja (ga spesial);1;Negatif;Soto, makanan khas Purwokerto, dan minuman
Soto Sangka Banyumas;Kuliner;Banyumas;"Soto nya manis, spt nya tidak menggunakan vetsin atau penyedap rasa dan lbh mengandalkan gula sbg penyedap dan kuah kurang panas.
Ketika mencoba tambah garam malah rasanya jadi aneh.

Utk penikmat soto dgn rasa yg gurih, agak kurang cocok.";2;Negatif;Soto, makanan khas Purwokerto, dan minuman
Soto Sangka Banyumas;Kuliner;Banyumas;Kalo tanpa sambal kacangnya tawar menurut saya, harga semangkok kecil dengan 4 potong kupat Rp 16.000, menurut saya mahal. Cukup sekali.;2;Negatif;Soto, makanan khas Purwokerto, dan minuman
Soto Sangka Banyumas;Kuliner;Banyumas;Soto ayam yang nikmat, dengan suasana jadul yang legendaris.. Membuat kita seperti kembali ke tempo dulu.;5;Positif;Soto, makanan khas Purwokerto, dan minuman
Kopi Kami, Untuk Kamu;Kuliner;Purwokerto Utara;Harga tinggi, rasa rendah;2;Negatif;Kopi, minuman espresso based, makanan ringan, dan menu kafe
Kopi Kami, Untuk Kamu;Kuliner;Purwokerto Utara;Pelayanan kurang memuaskan....rasa mkanan biasa aja;2;Negatif;Kopi, minuman espresso based, makanan ringan, dan menu kafe
Kopi Kami, Untuk Kamu;Kuliner;Purwokerto Utara;Pelayanan perlu ditingkatkan lg.;3;Netral;Kopi, minuman espresso based, makanan ringan, dan menu kafe
Kopi Kami, Untuk Kamu;Kuliner;Purwokerto Utara;Murah, enak, tempat duduk nyaman, ac. Di sini paling cocok. ;5;Positif;Kopi, minuman espresso based, makanan ringan, dan menu kafe
Kopi Kami, Untuk Kamu;Kuliner;Purwokerto Utara;Enak dan tdk mahal juga tempat nyaman;5;Positif;Kopi, minuman espresso based, makanan ringan, dan menu kafe
Kopi Kami, Untuk Kamu;Kuliner;Purwokerto Utara;Makanannya ga ada yang fail. Enak2 semua. Minumnya oke, tempatnya enak banget buat kerja yang butuh fokus ekstra;5;Positif;Kopi, minuman espresso based, makanan ringan, dan menu kafe
Nakopi Roastery;Kuliner;Purwokerto Selatan;Pilihan beragam, sebagai pecinta arabika, banyak opsi kopi enak dan mantap;5;Positif;Biji Kopi dan minuman kopi pilihan
Nakopi Roastery;Kuliner;Purwokerto Selatan;Ownernya ramah banget, baru kesampean main ke kesini, menyediakan banyak variant kopi. Pembelian kali ini saya ambil robusta temanggung, robusta slamet, dan arabika ratamba. Sudah saya cicip enak semua, fresh gaes. Rekomendasi buat kalian yang suka nyeduh kopi dirumah bareng keluarga, dikantor, maupun sebagai gift ke seseorang.;5;Positif;Biji Kopi dan minuman kopi pilihan
Nakopi Roastery;Kuliner;Purwokerto Selatan;Mantaaapp..pilihan kopi banyak..karyawan toko (mas Nazal) ramah,sumeh seperti ownernya..;5;Positif;Biji Kopi dan minuman kopi pilihan
Nakopi Roastery;Kuliner;Purwokerto Selatan;Tempat beli kopi mantap, enak, spesial pokoknya recomended beli kpi disini;5;Positif;Biji Kopi dan minuman kopi pilihan
Nakopi Roastery;Kuliner;Purwokerto Selatan;Kualitas kopi nya top dan pelayanan nya ramah poll;5;Positif;Biji Kopi dan minuman kopi pilihan
